iter	Logloss
0	0.6273652834
1	0.5624200641
2	0.5216019644
3	0.4793879859
4	0.4448703952
5	0.4153273388
6	0.3879883705
7	0.3554937415
8	0.3359725686
9	0.3190455827
10	0.2955001202
11	0.282102973
12	0.2713453593
13	0.2561614166
14	0.2494083245
15	0.2419745676
16	0.2363538602
17	0.2311613644
18	0.2224122574
19	0.2164680183
20	0.2127493749
21	0.2071006361
22	0.2021496139
23	0.1986043905
24	0.1948299486
25	0.1906694395
26	0.1874260697
27	0.1845062929
28	0.1795335979
29	0.1735095488
30	0.1684168585
31	0.1657266801
32	0.162924448
33	0.1609105386
34	0.1588203315
35	0.1563119407
36	0.1544967567
37	0.1523497296
38	0.1504196943
39	0.1493869884
40	0.1467994668
41	0.1433881126
42	0.1405141956
43	0.1382953359
44	0.1371998684
45	0.1357282186
46	0.1346200138
47	0.1324517547
48	0.1309521699
49	0.1296230072
50	0.1283737178
51	0.1267970862
52	0.1254221717
53	0.1237333452
54	0.1225117306
55	0.1218328264
56	0.1202945866
57	0.1188951931
58	0.1181157173
59	0.1166271232
60	0.1158295702
61	0.1149766591
62	0.113507054
63	0.1124873558
64	0.1116978371
65	0.1102864118
66	0.109330882
67	0.1082299148
68	0.1076686801
69	0.1069529243
70	0.1064401569
71	0.1054118566
72	0.1046012981
73	0.103794949
74	0.1029740057
75	0.1025366173
76	0.1014935701
77	0.1007739853
78	0.09989773664
79	0.09931291899
80	0.09855903264
81	0.09794641919
82	0.09761699602
83	0.0969718712
84	0.09657850241
85	0.0957552995
86	0.09490240904
87	0.09426353733
88	0.09355477309
89	0.09256828712
90	0.09196513086
91	0.09135648214
92	0.09089404663
93	0.09015758391
94	0.0898447147
95	0.08952348326
96	0.0892378078
97	0.08867311176
98	0.08825938165
99	0.08776482068
100	0.08712906423
101	0.08686669118
102	0.08610456135
103	0.08560421036
104	0.08528478402
105	0.08486000852
106	0.08437255354
107	0.08409927789
108	0.08359166273
109	0.08295994555
110	0.08236331719
111	0.08189744002
112	0.08110175795
113	0.08068263516
114	0.08037407467
115	0.08027540109
116	0.07972218602
117	0.07918021147
118	0.07863457768
119	0.07837265714
120	0.07790243351
121	0.07741274725
122	0.07705091978
123	0.07647460572
124	0.07624518044
125	0.07579688059
126	0.07559469083
127	0.07523932443
128	0.07494113517
129	0.07478516676
130	0.07465636589
131	0.0743887045
132	0.07405398865
133	0.07387929308
134	0.07364364868
135	0.07289524373
136	0.07250092027
137	0.07197364961
138	0.07178824003
139	0.07137443855
140	0.07103451979
141	0.0708350573
142	0.07073087945
143	0.07022951062
144	0.06977426066
145	0.06962137436
146	0.06943939481
147	0.06932697982
148	0.0689947274
149	0.06879883467
150	0.06866147233
151	0.06851557269
152	0.06826640741
153	0.0680547306
154	0.06799027965
155	0.06771116731
156	0.06742530453
157	0.06697023189
158	0.06656839317
159	0.0663243232
160	0.06607895583
161	0.06551772439
162	0.06530501536
163	0.06505889761
164	0.06459196771
165	0.06439653759
166	0.06415654084
167	0.06381624382
168	0.06351491076
169	0.063108341
170	0.06309036151
171	0.06295650218
172	0.06247168836
173	0.06206215462
174	0.06186548792
175	0.06162339507
176	0.06129070022
177	0.06123915207
