iter	Passed	Remaining
418	2475	3432
419	2479	3424
420	2485	3418
421	2491	3412
422	2496	3406
423	2503	3400
424	2508	3394
425	2514	3388
426	2520	3382
427	2526	3376
428	2532	3370
429	2537	3364
430	2543	3357
431	2548	3350
432	2554	3345
433	2560	3338
434	2566	3332
435	2571	3326
436	2578	3321
437	2584	3315
438	2590	3310
439	2597	3305
440	2603	3300
441	2609	3294
442	2615	3288
443	2620	3282
444	2626	3275
445	2632	3270
446	2638	3264
447	2644	3258
448	2650	3252
449	2655	3245
450	2661	3239
451	2667	3234
452	2673	3227
453	2678	3221
454	2684	3215
455	2689	3208
456	2695	3202
457	2700	3195
458	2706	3190
459	2710	3182
460	2717	3176
461	2722	3170
462	2728	3164
463	2733	3157
464	2739	3151
465	2744	3145
466	2751	3139
467	2756	3133
468	2762	3127
469	2768	3121
470	2774	3115
471	2780	3109
472	2785	3103
473	2791	3097
474	2797	3091
475	2803	3085
476	2808	3079
477	2814	3073
478	2820	3067
479	2825	3061
480	2831	3055
481	2837	3049
482	2843	3043
483	2849	3037
484	2856	3032
485	2862	3027
486	2868	3021
487	2875	3016
488	2881	3011
489	2888	3006
490	2895	3001
491	2900	2995
492	2906	2989
493	2913	2983
494	2919	2978
495	2925	2972
496	2932	2968
497	2938	2962
498	2944	2956
499	2949	2949
500	2955	2943
501	2961	2937
502	2967	2932
503	2973	2926
504	2980	2921
505	2985	2915
506	2991	2908
507	2997	2902
508	3002	2896
509	3008	2890
510	3014	2884
511	3020	2878
512	3025	2871
513	3030	2865
514	3036	2860
515	3042	2853
516	3048	2847
517	3054	2842
518	3060	2836
519	3066	2830
520	3072	2824
521	3077	2818
522	3083	2812
523	3089	2806
524	3094	2800
525	3100	2793
526	3105	2787
527	3111	2781
528	3117	2775
529	3122	2768
530	3128	2763
531	3134	2757
532	3139	2750
533	3145	2745
534	3151	2738
535	3157	2732
536	3163	2727
537	3169	2722
538	3176	2716
539	3182	2710
540	3189	2706
541	3195	2700
542	3201	2694
543	3208	2689
544	3214	2683
545	3219	2677
546	3225	2670
547	3230	2664
548	3236	2658
549	3241	2652
550	3248	2646
551	3254	2641
552	3260	2635
553	3266	2629
554	3271	2623
555	3277	2617
556	3283	2611
557	3289	2605
558	3295	2599
559	3300	2593
560	3306	2587
561	3311	2581
562	3317	2575
563	3323	2569
564	3329	2563
565	3334	2557
566	3340	2551
567	3346	2545
568	3353	2539
569	3358	2533
570	3363	2527
571	3368	2520
572	3374	2515
573	3380	2508
574	3385	2502
575	3391	2496
576	3397	2490
577	3402	2484
578	3408	2478
579	3414	2472
580	3419	2466
581	3425	2460
582	3431	2454
583	3436	2448
584	3442	2442
585	3448	2436
586	3455	2430
587	3461	2425
588	3467	2419
589	3474	2414
590	3481	2409
591	3487	2403
592	3493	2397
593	3498	2390
594	3504	2385
595	3509	2379
596	3515	2373
597	3521	2367
598	3526	2361
599	3532	2355
600	3538	2349
601	3544	2343
602	3550	2337
603	3555	2331
604	3561	2325
605	3567	2319
606	3573	2313
607	3579	2307
608	3585	2301
609	3590	2295
610	3596	2289
611	3602	2283
612	3607	2277
613	3612	2271
614	3618	2265
615	3624	2259
616	3630	2253
617	3635	2247
618	3640	2240
619	3645	2234
620	3651	2228
621	3656	2222
622	3662	2216
623	3667	2210
624	3673	2204
625	3679	2198
626	3684	2191
627	3690	2185
628	3696	2180
629	3701	2173
630	3706	2167
631	3712	2161
632	3717	2155
633	3722	2148
634	3727	2142
635	3733	2136
636	3739	2131
637	3745	2125
638	3751	2119
639	3758	2114
640	3764	2108
641	3772	2103
642	3777	2097
643	3783	2091
644	3788	2085
645	3794	2079
646	3800	2073
647	3805	2067
648	3810	2061
649	3816	2055
650	3822	2049
651	3827	2042
652	3833	2037
653	3839	2031
654	3844	2024
655	3849	2018
656	3854	2012
657	3860	2006
658	3865	2000
659	3871	1994
660	3877	1988
661	3883	1982
662	3890	1977
663	3896	1971
664	3903	1966
665	3909	1960
666	3915	1954
667	3921	1948
668	3927	1943
669	3932	1937
670	3938	1931
671	3944	1925
672	3949	1919
673	3955	1913
674	3961	1907
675	3967	1901
676	3973	1895
677	3978	1889
678	3984	1883
679	3990	1877
680	3996	1872
681	4002	1866
682	4007	1859
683	4011	1853
684	4015	1846
685	4021	1840
686	4027	1834
687	4033	1829
688	4040	1823
689	4045	1817
690	4052	1812
691	4058	1806
692	4064	1800
693	4069	1794
694	4075	1788
695	4081	1782
696	4086	1776
697	4092	1770
698	4097	1764
699	4103	1758
700	4109	1752
701	4115	1747
702	4121	1741
703	4127	1735
704	4133	1729
705	4139	1723
706	4144	1717
707	4150	1711
708	4156	1705
709	4162	1699
710	4167	1694
711	4172	1687
712	4178	1681
713	4183	1675
714	4189	1669
715	4194	1663
716	4200	1658
717	4206	1652
718	4211	1646
719	4217	1639
720	4222	1634
721	4228	1628
722	4236	1622
723	4241	1616
724	4247	1611
725	4253	1605
726	4258	1598
727	4263	1593
728	4269	1587
729	4275	1581
730	4280	1575
731	4286	1569
732	4292	1563
733	4297	1557
734	4302	1551
735	4309	1545
736	4315	1540
737	4321	1534
738	4327	1528
739	4335	1523
740	4341	1517
741	4347	1511
742	4353	1505
743	4359	1499
744	4365	1494
745	4369	1487
746	4374	1481
747	4380	1475
748	4385	1469
749	4391	1463
750	4395	1457
751	4401	1451
752	4407	1445
753	4413	1439
754	4418	1433
755	4424	1427
756	4430	1422
757	4436	1416
758	4441	1410
759	4447	1404
760	4452	1398
761	4458	1392
